,brazilian,british,cajun_creole,chinese,filipino,french,greek,hawaiian,indian,irish,italian,jamaican,japanese,korean,mexican,moroccan,russian,southern_us,spanish,thai,vietnamese
ahi,-0.022307330375455296,-0.026202522413128336,-0.029694411045928085,-0.9213405003815608,-0.03762448160145321,-0.23529859993355182,-0.06578047036469731,4.531539556040896,-0.07463845466904451,-0.018883261110081866,3.913445236117887,-0.028450178723012864,0.1350335943498674,-1.4481303925996016,-0.8551842144204364,-0.02462271238766079,-0.025364737475093886,-0.0691416400126813,-0.16815117140215508,-0.9545981858181851,-0.06068562270223889
aioli,-0.05316714785503139,-0.01984506265888973,-0.09044125294797259,-0.019225689388875183,-0.046200436050252376,1.5119232706910728,-0.0437516184388879,-0.0146930404470501,1.599607656718393,-0.015891367882555806,0.6431276039080424,-0.013357205109618586,-0.24089936856944397,-0.022711863757678467,-0.03663108352893128,-0.1090973800093849,-0.04232554985037559,-2.2970200758778576,-1.4131511880978405,-0.1882641793755081,-0.009434003379975532
ajinomoto,-0.004393717159184965,-0.029677922931412172,-0.006294049596443868,1.8097580222837444,-0.08078163306854826,-0.12554846277122603,-0.007320978924014577,-0.008498600552542715,-0.006973854137116527,-0.01137481704853115,-0.017872781435878442,-0.017749250385655852,-0.35859605874783995,-0.03206390677997686,-0.07013203775689456,-0.0080635840401157,-0.015790920272361113,-0.015493851216181811,-0.00981073621575884,-0.15077663089889903,-0.04813264966764903
ajwain,-0.033130151505316424,-0.06423477123988064,-0.05075546375148818,-0.16523198807091974,-0.11694867833916868,-0.16041106178193312,-0.03472256906660946,-0.01953461986712262,-0.7322870173411379,-0.062044180933777025,-0.20390294495821493,-0.0865264698213076,4.87880983596655,-0.08353848505106698,-1.3503442565285317,-0.1739459190575448,-0.0490910932742048,-0.5080181338441909,-0.073193458852841,-0.08606793819053754,-0.04185700815643805
aka,-0.00041705249129930474,-0.002639508200836997,-0.0014240159218267094,-0.010482960317691645,-0.0014582463704293236,-0.0038432088262058523,-0.003089661927963413,-0.017937868505976194,-0.0006779678687121584,-0.001773513531172489,-0.003665933365962404,-0.0006658293849932979,0.022506860257670767,-0.13067289730706255,-0.01801346574130434,-0.0015504804064006773,-0.0017726050676042673,-0.0023817102553563975,-0.0006646069484019495,-0.003781776987838258,-0.004164115917756503
alaskan,-0.0054215450102340496,-0.03263501000729866,-0.03131260452043173,-0.27014773601891223,-0.15963530273314272,-0.04562788905053468,-0.011545753851619303,-0.004130562257097753,0.45938806507543656,-0.008465950034489408,-0.17055716824308903,-0.06358836198255712,0.36315394360331393,-0.013395480728688442,-0.03383591389371679,-0.005618199546369976,-0.010410137336382824,-0.04679413201076364,-0.005188339224808715,2.1455834101971094,-0.06787208919841968
albacore,-0.10588195487268667,-0.014370575476828745,-0.023163854095233066,-0.04156048898104102,-0.006207187888655913,-0.7291894505888288,-0.4296327001163202,-0.019180491510391594,-0.07258704254024184,-0.01694910827403992,1.786777096109462,-0.006681179763138386,-0.05590982828756589,-0.012225186849603309,-0.4272742519702963,-0.046320388796382284,-0.012562358458471149,-0.21483572329411085,1.2239586198893153,-0.017291622014808876,-0.011686007091095406
alcohol,5.538337403778843,-0.09288525003563554,-0.07720769067920547,3.759735769111538,-0.0454045145091317,-0.7540510173067438,-0.04834477103397719,-0.07307255159872951,-0.06914880027331011,-0.05348873879870469,-2.5753607206591047,-0.26161503586260404,-0.24318157314625727,-0.3716429302203813,-0.6293170713171251,-0.06412166395626286,-0.03956082077232771,-0.7473942313419079,-0.10287696033124377,-0.05196326923243984,-0.05971216450704273
ale,-0.21980579272691603,1.3004427689946185,0.3869258359768183,-1.2418183257475635,0.644481768679964,-1.1189001062376132,-0.38888786469696246,0.0732553987135094,-0.7919509262845934,0.5711000261875648,-3.4110324280276987,-0.3672418982285213,-0.873124872849152,0.3144227189639613,-1.4575756097088026,-0.34177770563198423,-0.21778393760401743,1.1738629671090712,1.0180523032031097,-0.264419209375001,-0.19075914819721332
aleppo,-0.03922089106005233,-0.04614394078843753,-0.0109795858620105,-0.5266062078402194,4.00581373763289,-1.2942102350623947,0.5035346585645468,-0.11750677641307014,0.5470171387334338,-0.04517274538835388,1.5822743973044433,-0.0814927695174599,-0.17814568823912888,-0.589177815413157,-0.42495578663265093,2.756564750979752,-0.030101631390415107,0.48197426282509886,-0.5650775608317886,-0.14809493833390142,-0.058963780965002384
alexia,-0.03452900629324646,-0.011612611425406646,0.6708334885279054,-0.020293666769506846,-0.04875211466619589,-0.09787048751936146,-0.0736526663676564,-0.01119185677029881,-0.07464480533320529,-0.009123779938352566,-0.8151537791698249,-0.013401605108417204,-0.027356272969742225,-0.10669817130393747,-1.0956396414352287,-0.013946017870249246,-0.006965076688821509,-0.6631727794500649,-0.042161555626514684,-0.05341703742239775,-0.006386152883699086
alfalfa,-0.005244624631015031,-0.012692862715606452,-0.007258987556411967,-0.6984841310821076,-0.006023585419689149,-0.07668513817785534,1.46473658249857,-0.05293265299147598,-0.04728032564618018,-0.019895425135746124,-0.06850375573781028,-0.0013063363961181259,-0.11759931009266006,-0.06424713111471181,-0.26668551109059097,-0.01016769046299687,-0.007002536831530301,-0.06723318166501074,-0.04530994220499442,2.3926700262091205,-0.06318073132693765
alfredo,-0.17207324369285742,-0.08678651264927303,0.6990840591697131,-0.47656912846409855,-1.2500098885539326,0.05803711429605829,-0.2527495627647569,-0.3685519634608066,-0.09078780826150554,-0.06534720238591131,4.854648069426561,-0.0454566335398186,-0.49322056178044893,-0.04725094458082138,-0.9941762425999676,-0.05914129460846955,-0.062245840985987774,-1.7567123072241821,-0.46572977152167355,-0.4676292844026032,-0.09907143312597551
all,1.2700785393962568,0.5935886217651731,0.0018551108649114336,1.8520014886829796,-0.8958118806241827,0.8123756368534417,0.824559726651324,-0.55496459579341,-0.5676984457533651,0.16451754762095294,1.7855667889482567,1.0368865231092868,0.07107273272373929,1.039974138124005,1.139993137455557,0.21119774122570978,0.15393054960844166,-1.2309845497340424,0.2757976493518552,-1.060539847766071,0.34995799835174224
allpurpose,-0.510704508324563,0.3329827082694319,0.6397804630949336,-1.4650715670973578,-0.5804393273851014,2.9157604066284,2.6975219530944434,-1.3977508303487456,-1.4488070487158924,1.6678712972648426,2.8426536278331813,-1.7038472245021614,-2.2738539052040334,-1.5351536666241625,0.2602797453732475,-1.9382261596965802,0.33157037483481155,1.1230115169772272,-1.6530515413130642,0.15961039019636974,-1.3802313418045762
allspice,-2.768569665742892,1.4487331337366551,-2.033820353888323,-2.950425784278301,-3.615226793178237,-1.0538943801624858,0.6091162110066942,-2.244253229861963,-2.326591112561207,0.8660486638609897,-5.829249017514834,11.392810416156339,-2.291013037611278,-1.563130431186268,-3.05521976390451,1.8751727832343479,-0.6183318946266061,-2.082479825859728,-3.7031431740607084,-2.287574605197488,0.40843338516100025
almond,1.5031491077004402,-0.5998436862740409,-0.8620200293620918,1.8874562637080607,1.6668511496708862,1.545918142866206,0.3167090021156821,-0.3667988850696676,1.5100319432103415,0.07844568363889994,1.8239547211643847,-1.5281397004105783,-1.4104117988411793,-1.3642908910360179,-5.333095358969013,-1.0310340816717352,-0.2371223479111578,0.10258293425274552,-0.9045198256536386,-0.9957103264684564,0.3650267282457402
almondmilk,-0.0011132710981636173,-0.010487926454554075,-0.0011739234617646637,-0.007575994254533951,-0.01529527283928087,-0.014816314257396712,-0.12038634258184291,-0.0008751366113124078,-0.0021506564410779206,-0.0013084296864975934,-0.006882401941863799,-0.00033041152888231703,-0.006720429274057821,-0.0012445887122459615,-0.14656637953139726,-0.004015567128627626,-0.002230717616730797,0.1460421074166328,-0.00851220652332304,-0.003151575208474966,-0.0012490852940226958
almonds,0.006063531681255299,-0.3195554183380324,-0.44341751844854976,2.15827866197623,-3.1491479928111437,0.8359395411820338,1.2940242167751932,0.22650568417236125,1.4415907395244656,-1.0180453687389344,0.8114203934649062,-2.555149083707759,-0.9511777317723211,-2.111442636047197,0.6158643055163295,2.743833257350714,0.43060402927435454,-3.2446360131164256,3.547033884761272,-2.6875414215607596,-0.8915780051336837
aloe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alphabet,-0.0007828539774237107,-0.008536171364815963,-0.0014736515488096118,-0.003058059867206683,-0.002056159371529959,-0.13058584141447777,-0.009777999151711141,-0.0014856252206285395,0.05735586117666084,-0.013519913385654411,1.2021008460381384,-0.0011204830263640447,-0.022762827669566322,-0.080892930698281,-0.03242054244620814,-0.04816945491279334,-0.002444029392116226,-0.022493215220766746,-0.009516017613553881,-0.002218379684475012,-0.0027565495221661463
alum,-0.0029520993889354235,-0.008275033293013587,-0.0015297006009665586,-0.05396694040570308,-0.03180183655452239,-0.027856563730379983,-0.005442850844915608,-0.0024949844039086054,-0.13565097981240068,-0.005923667092761162,-0.758230708585786,-0.0060127331844694615,-0.10071644821433376,-0.012196600917740072,-0.0382458598608392,-0.013760177227919433,-0.004106466113616564,3.907873766071959,-0.019290412607887927,-0.0026687917152766645,-0.008649554989396452
amaranth,-0.020613318822091085,-0.0015958038341659896,-0.005822627825776282,-0.0338214902909431,-0.027238260331342693,-0.011964651926194853,-0.011902666843222841,-0.008279108584039314,-0.000730951424511126,-0.0024998221351764213,-0.011524781783573166,-0.011851781178460015,-0.09725880333890148,-0.012147914089506927,-0.005224394381820705,-0.016645872374590424,-0.003263359118394538,-0.02787333310559618,-0.016000310788722213,-1.377127097721655,0.6712320380025987
amarena,-0.02012762798396878,-0.02724322831120819,-0.003918708183511348,-0.012556677699971161,-0.0008632637449055542,1.266418558960867,-0.023954978667681995,-0.00039077833274972046,-0.0021550144963542466,-0.017477742798939277,-1.7154447279793708,-0.012063229203224753,-0.017097400783474683,-0.0007550000496618077,-0.1679198490470183,-0.021710144000728737,-0.010760049592740732,-0.315369520246104,-0.14515764114531363,-0.006858400281505151,-0.002408853083859642
amaretti,-0.11322760501546034,-0.11113638437270591,-0.0400151162686228,-0.14813857138655973,-0.06949391426189908,-0.11007360461810675,-0.037095114924736904,-0.0041950410703281375,-0.026807422509897438,-0.08712031421326467,4.904330761632068,-0.037699088258032504,-0.0716909168026055,-0.02330562162580267,-0.6860795620761323,-0.02672608841856537,-0.03942356224476097,-2.2187927297293175,-0.259863097054826,-0.048972497700911374,-0.010592783573222278
amaretto,-0.2702898704395576,-0.33608727908359687,0.43440130041100855,-0.3461884992034341,-0.15786559057668215,-1.045104075378599,-0.2410631427142116,-0.04345491942388033,-0.17334670534743832,-0.11893857542906046,7.280200577448488,-0.26241351169677746,-0.39051990593958874,-0.06154634506866094,-0.5924678819547179,-0.14930288392129704,-0.12566164232033913,-5.966365951508626,1.0561429211277906,-0.13161014888467845,-0.053521084888609474
amba,-0.0018296419120491022,-0.006114887244979326,-0.0025006448475435004,-0.0071814558576376655,-0.0024169083884941823,-0.007542189589775368,-0.0005471253691418934,-0.0030245523006679083,0.4209225692057686,-0.019122643509928518,-0.0028968183718173887,-0.0023870026221647247,-0.27302079636636734,-0.0013108445855115802,-0.020153179245215452,-0.0006987845077325991,-0.003590839222148515,-0.03966361515322033,-0.005817312822061747,-0.0012961597690351692,-0.0033176670693255265
amber,0.9732602633498144,-0.06664676656267363,-0.02797959150328196,-0.4859676493299445,-0.03569866929558509,1.0483137638211477,-0.056071260434353475,0.14522976621484593,-0.28432904505785506,-0.039785624093972065,-0.3031229404591175,1.2737356033454907,-0.17965498836462318,-0.08990442069806716,-0.5303980643260249,-0.02119056328956145,-0.05068783624758597,-2.4045801836302556,-0.21508206510470007,-0.16928269646279578,-0.05160905999057769
amberjack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amchur,-0.3899565470864432,-0.15449256286308824,-0.09464573991831089,-0.7275013744905529,-0.21398234633505073,-0.18112852135514623,-0.07695743075138309,-0.048367820441728646,-0.5365218839384222,-0.2389657529761726,-0.15806438884220078,-0.2067335709054167,2.5340735251719613,-0.11206291759836412,-4.457285925150253,-1.2346270776202581,-0.12468513841580878,2.5722844047299636,-0.23041611168557652,-1.0410470544857262,-0.10495386698330222
america,-0.002956944950592165,-0.0007993975339378788,-0.0007009373423853676,-0.0020231373650915745,-0.001268474118763498,-0.006970893709138932,-0.000810421718731007,-0.0010558517678906202,-0.00750573721890792,-0.0022454385353784883,-0.0011322050727974138,-0.0007570097142673626,-0.003979125822228543,-0.0005102553819747761,0.03181702930264808,-0.01625565406927782,-0.0005757297911091491,-0.026469258772741245,-0.02371087644136723,-0.0028082551646530962,-0.0012558020236819833
american,-0.10099784162729751,-0.048050515411832716,-0.08744715906123468,-0.0440509916794626,-0.48928457930689384,-0.2893037794002051,-0.05993947050604102,0.306337563862751,-0.16936065636074735,-0.032605944603120725,0.6293070487095727,-0.047807303600833365,-0.08484982405361487,-0.043351459814292094,5.10723884595645,-0.029052469413246504,-0.035394846624608574,-2.073799317546379,-0.09091484821674206,-0.040610637223088226,-0.022222483528960512
aminos,-1.0914426362946352,-0.05637145329898908,-0.0806185444792646,0.6166904662599649,0.8245271202202915,-0.5307674644463025,-0.25972770227120656,2.7476174300142415,-0.9474928764576409,-0.07423187986582713,-0.7921371026005852,-0.9209133104406517,1.7367831251079724,1.313645145326987,-0.1633556163230051,-0.25117185222546584,-0.06247396579767487,-1.021584472731747,-0.18691427719033007,-0.014211331788485004,0.26546590421735144
ammonium,-0.03293952488277138,-0.06755204919562142,-0.01046518721884211,-0.1396654400763494,-0.010974306864417659,-0.2422328280203926,1.9953956050976875,-0.001026572613687458,-0.017678250630962823,-0.009523375657310052,-0.8133863578910493,-0.010492421671312615,-0.13209364918568353,-0.005561748881938236,-0.08002937031207581,-0.010407335843487249,-0.025442365370248427,-0.08941457609263592,-0.013579494677541746,-0.003461851883284732,-0.001714157235838699
amontillado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ampalaya,-0.08534853759034432,-0.014151594979552711,-0.044315278784958084,-2.545541379718407,3.9840999425489656,-0.018779329953461134,-0.02244201284837419,-0.1633826235741104,-0.006038119445739327,-0.0038364213216929674,-0.7641220324575695,-0.012500650988240531,-0.053706230626220465,-0.6161047399892099,-0.16664298511242218,-0.011279257413106241,-0.012969797950444973,-0.015395340532866553,-0.057858830096310564,-0.04032822857878906,-0.14532613395453417
anaheim,-0.2959256786390976,-0.05544197447716363,-0.08067836821820155,-0.15625713254697107,0.8988983073754784,-0.22976194318559384,-0.07351008983459885,-0.025362291570501877,-1.8055064515024952,-0.06953700614060722,-1.839910022953927,-0.056667332649591985,-0.4069982734635998,-0.23122145614360556,1.0487074502951046,0.8886916657827653,-0.04855091680169092,-1.0180252635291158,2.2849679315784885,1.9343313686799601,-0.5220570526732278
anasazi,-0.013952877238321282,-0.0008389660382271518,-0.01464925637215733,-0.006548805814851139,-0.008870182323778444,-0.004520024709654699,-0.0062675106870445476,-0.0017531175750762132,-0.006903305613930829,-0.0012829625109378791,-0.0033636809168241582,-0.002408265335805457,-0.0021478958722377798,-0.036593852275428294,0.9474318319181904,-0.0014719794674184009,-0.0010168500451998772,-0.003224238486710187,-0.0676357404923475,-0.0054832790689884996,-0.002627872525723607
ancho,-0.36628831141682955,-0.14467746819162497,-0.43518711064536314,-0.8592249864821779,-1.0286400311821544,0.14186082902483776,-0.6862768065711735,-0.28158001041895064,-1.1902714348865069,-0.12459466216718709,-4.508124181397559,-0.9384475387180908,-0.7987805317012039,-0.46965595015535816,5.780892245280296,-0.4445445074928232,-0.17161654548342561,1.2462372830438915,-0.1148982974153111,-0.6507567102540953,-0.23451534227368553
anchovies,-0.3846672835497528,-0.14212450099320112,0.24560799609093872,-0.5404124985440706,-0.18430505642104028,2.2511590797909964,-0.7857964091932327,-0.1637791839607386,-0.2747738162802802,-0.07306221467541357,-1.2426746812658012,-0.1569831318015295,-0.690105264580361,1.8016786215243599,-1.221221010557136,-0.3268885141057632,-0.14954218447939624,-0.841460614355382,1.4397547385523692,-0.22935390283182372,-0.11889914833466718
anchovy,-1.7790848389266083,-0.09303130557415175,-0.6656090240060898,-1.7772184419830515,-0.4524616248044678,2.105168555615659,-3.315079724691846,-0.28783548697384953,-0.32504181841995683,-0.21328326946468248,5.565651947442007,-0.6664799599240543,-0.7521523011423843,0.30388433971215323,0.29624472405901325,-1.8366694317912458,-0.041647565521037044,-3.770257489349666,-2.689213123151203,0.7416266144115102,-0.1622140234662274
and,-2.805160845150146,-0.9747857504974593,0.014482099155456419,2.4677216068826078,2.9676152080562512,-1.5557791076072245,0.21309752469856616,-0.5618820731092645,-1.6229539995395497,0.9807094246380247,1.0900907935724053,1.4022077423961257,-0.4370059095793753,-1.023133863630741,2.066642768063412,0.3325719862210804,-0.11347125761062347,3.085943984407224,0.42525985682164813,-0.9446733026389068,-0.4846299930756585
andouille,-1.090663457525249,-0.6422705834001912,4.212279405589593,-1.7788164106496005,-1.6854690384672892,-2.9938592859985764,-1.6621367091106025,-1.2211752289394022,-0.9813081733931194,-0.5041900285047239,-9.003881319766114,-1.6951759422253592,-1.017864766788905,-0.6385933166415401,-6.421093261434621,-0.977686665373732,-0.4331505790821699,-1.514537763335729,-3.3443933982400478,-0.7210894883804595,-0.3554230189248438
anejo,-0.010494141974747512,-0.019975349850597637,-0.012322372695911158,-0.011025478405912678,-0.005090905413238119,-0.05764026262408012,-0.01242293751110382,-0.007150884617287767,-0.010951849836404555,-0.007261374454755628,-0.04290149128735051,-0.007225379845320923,-0.02228405705531733,-0.004871469497362455,2.544654363009249,-0.0058882408324491195,-0.009526421956888843,-0.4324696545978191,-0.04120976248335288,-0.010045670965378395,-0.0072346623470122455
angel,-0.5044016975484907,-0.22821784481256605,0.04212888635908142,0.5103999224609328,1.9866958905368353,-0.967839257425618,0.42981786054096505,-0.22732340888194325,-0.3527616569535251,-0.14366615112303763,7.256050434253558,-0.12241846280433284,1.038166628185453,-0.7797669634301254,-0.06438283191356897,-0.36393883959745166,-0.1274258296844001,-2.693538704542613,0.28353941285319423,-0.7916608232300676,-0.14306266315284252
anglaise,-0.019348721614734048,0.19609844291756243,-0.06472929780466137,-0.10926912060185487,-0.05998168977843994,1.4084532214032848,-0.16206585998800196,-0.006711058819345318,-0.03003468203390992,-0.024359943432514693,-3.7240663897409867,-0.03774318470176532,-0.14529235153252335,-0.016014975457868556,-1.0634400599266052,-0.015554207497093565,-0.044317866671243086,-0.5201208260764452,-0.07271227162367033,-0.027767627602824297,-0.008260221308048845
angled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
angostura,-0.0979474726771138,0.636891872544984,-0.1986605826032125,-0.10229502011652616,-0.0918281809258936,-0.8522247897997298,-0.15844815049003932,-0.30438223648648305,-0.18324441516060008,-0.07060680855145379,-2.019250458892256,2.046071580137031,1.4486708973290767,-0.0765391426838221,2.8138007712655653,-0.05692751028331479,-0.0626277879261727,2.125192999720984,-0.20361160532163322,-0.1602031036017066,-0.05840939662753798
angus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
